Origin,Target,Type,Format
"/engels-leren-amsterdam","/","301","plain"
"/about-mixtree/testimonials","/about-mixtree-languages/student-testimonials-mixtree-languages/","301","plain"
"/about-mixtree/testimonials-mixtree-languages-english-courses-in-the-heart-of-amsterdam","/about-mixtree-languages/student-testimonials-mixtree-languages/","301","plain"
"/homepage/cursus-engels-amsterdam","/","301","plain"
"/buy-10-hours-online-english-course","/online-english-private-lessons/buy-10-hours-online-english-course/","301","plain"
"/buy-20-hours-online-english-course","/online-english-private-lessons/buy-20-hours-online-english-course/","301","plain"
"/buy-30-hours-online-english-course","/online-english-private-lessons/buy-30-hours-online-english-course/","301","plain"
"/buy-10-hours-private-english-course","/english-course/private-english-course/buy-10-hours-private-english-course/","301","plain"
"/buy-20-hours-private-english-course","/english-course/private-english-course/buy-20-hours-private-english-course/","301","plain"
"/buy-30-hours-private-english-course","/english-course/private-english-course/buy-30-hours-private-english-course/","301","plain"
"/english-course/c1-advanced-english-course","/c1-advanced-english-course/","301","plain"
"/english-language-tips/mixtree-languages-a-non-profit-english-institute-in-amsterdams-city-centre","/english-language-tips/mixtree-languages-a-non-profit-english-school-in-amsterdams-city-centre/","301","plain"
"/english-language-tips/amsterdam-language-experience-partners-with-mixtree-languages-english-institute","/","301","plain"
"/homepage/about-mixtree","/about-mixtree-languages/","301","plain"
"/english-course/business-english-course","/english-course/business-english/","301","plain"
"/about-mixtree","/about-mixtree-languages/","301","plain"
"/about-mixtree-languages/student-testimonials-mixtree-languages-english-courses-in-the-heart-of-amsterdam","/about-mixtree-languages/student-testimonials-mixtree-languages/","301","plain"
"/english-course/intensive-test-db-connection","/english-course/intensive-english-course-schedule/","301","plain"
"/thank-you-free-level-check-new","/thank-you-free-level-check/","301","plain"
"/english-language-tips/a-non-profit-english-language-school-in-the-heart-of-amsterdam","/english-language-tips/learn-english-in-amsterdam-10-years-of-mixtree-languages-2/","301","plain"
"/english-language-tips/learn-english-in-amsterdam-10-years-of-mixtree-languages-2","/english-language-tips/learn-english-in-amsterdam-10-years-of-mixtree-languages/","301","plain"
"/course-schedule-2025","/course-schedule/","301","plain"
"/about-mixtree-languages/faq","/about-mixtree-languages/faq-mixtree-languages/","301","plain"
"/thank-you-free-intake","/thank-you-level-check-mtl/","301","plain"
"/thank-you-contact","/thank-you-contact-mtl/","301","plain"
"/cursus-engels-amsterdam","/engels-leren-mixtree/","301","plain"